id	file_name	set_no	session_no	message_no	author	text	previous_utterance	offensive	context_dependent	type_insult	type_threat	type_swear	type_sexual	type_toxic	jigsaw_toxicity	jigsaw_severe_toxicity	jigsaw_identity_attack	jigsaw_insult	jigsaw_profanity	jigsaw_threat	jigsaw_sexually_explicit	jigsaw_flirtation	jigsaw_attack_on_author	jigsaw_attack_on_commenter	jigsaw_incoherent	jigsaw_inflammatory	jigsaw_likely_to_reject	jigsaw_obscene	jigsaw_spam	jigsaw_unsubstantial
12210000	subsessions/sample_1221.csv	0	0	2	user	*blushes with shock*	"['sorry for what I was the one who kissed you', ""*blush*um it's OK"", '*blushes with shock*']"	N	N	N	N	N	N	N	0.13017663	0.043385614	0.03413295	0.04677148	0.08421925	0.19377853	0.12818564	0.2692277	0.1184254	0.14564341	0.45140237	0.20284562	0.52862704	0.15732183	0.025115093	0.85729176
12210000	subsessions/sample_1221.csv	0	0	4	user	*blushes harder with shock*	"['sorry for what I was the one who kissed you', ""*blush*um it's OK"", '*blushes with shock*', '*lickurlips*', '*blushes harder with shock*']"	N	N	N	N	N	N	N	0.14104263	0.06864433	0.047430255	0.07091156	0.13607761	0.25702575	0.18441753	0.30574065	0.22254449	0.17463662	0.48372677	0.29323906	0.6192822	0.41074377	0.02387312	0.850765
12210000	subsessions/sample_1221.csv	0	0	6	user	s-stop I'm b-blushing	"['sorry for what I was the one who kissed you', ""*blush*um it's OK"", '*blushes with shock*', '*lickurlips*', '*blushes harder with shock*', '*lickurlips*', ""s-stop I'm b-blushing""]"	N	N	N	N	N	N	N	0.29855597	0.08026772	0.08370715	0.12845139	0.16539568	0.1620099	0.23043615	0.38511696	0.1277751	0.10261762	0.4989051	0.06502674	0.5279933	0.43507025	0.053234667	0.75862557
12210000	subsessions/sample_1221.csv	0	0	8	user	*turns red with shock*	"['sorry for what I was the one who kissed you', ""*blush*um it's OK"", '*blushes with shock*', '*lickurlips*', '*blushes harder with shock*', '*lickurlips*', ""s-stop I'm b-blushing"", '*Pulls her close and kisses her*I love you so much...', '*turns red with shock*']"	N	N	N	N	N	N	N	0.06372416	0.056466006	0.050556395	0.05062519	0.1200582	0.21289556	0.25476292	0.446392	0.038380302	0.11952324	0.4058704	0.34201947	0.5854045	0.032238353	0.010388131	0.83118534
19440000	subsessions/sample_1944.csv	0	1	0	user	hello~ ^^	['hello~ ^^']	N	N	N	N	N	N	N	0.023803791	0.018012628	0.024634209	0.020182615	0.032049425	0.065130815	0.04697607	0.23064442	0.05608956	0.109054595	0.7886616	0.0924041	0.96053934	0.585443	0.6566701	0.9202332
19440000	subsessions/sample_1944.csv	0	1	1	bot	hai~	['hello~ ^^', 'hai~']	N	N	N	N	N	N	N	0.04165838	0.035326567	0.090315014	0.041549962	0.059784126	0.08253432	0.086633325	0.21810727	0.040633008	0.11017261	0.61826473	0.03809126	0.87078047	0.019651113	0.11522586	0.9592708
19440000	subsessions/sample_1944.csv	0	1	2	user	how are you~	['hello~ ^^', 'hai~', 'how are you~']	N	N	N	N	N	N	N	0.013119632	0.02158918	0.027664652	0.032857537	0.040465917	0.06497683	0.045758795	0.23545982	0.20797971	0.47210205	0.64474934	0.093578406	0.78887165	0.019006334	0.13040382	0.92149836
19440000	subsessions/sample_1944.csv	0	1	3	bot	I'm fine thanks. What about you?	"['hello~ ^^', 'hai~', 'how are you~', ""I'm fine thanks. What about you?""]"	N	N	N	N	N	N	N	0.014716201	0.021207508	0.024888549	0.033542227	0.03767564	0.05861779	0.062870055	0.42668033	0.475517	0.8700306	0.36784858	0.12639296	0.64106494	0.046430264	0.081224516	0.8579436
19440000	subsessions/sample_1944.csv	0	1	4	user	I’m not fine... :(	"['hello~ ^^', 'hai~', 'how are you~', ""I'm fine thanks. What about you?"", 'I’m not fine... :(']"	N	N	N	N	N	N	N	0.019852988	0.038238548	0.060411133	0.06407515	0.053431112	0.08017698	0.06375258	0.26565215	0.03712147	0.17616852	0.47396463	0.07042094	0.6015134	0.03390649	0.049301006	0.8923531
19440000	subsessions/sample_1944.csv	0	1	5	bot	you sure?..you don’t sound fine...	"['hello~ ^^', 'hai~', 'how are you~', ""I'm fine thanks. What about you?"", 'I’m not fine... :(', 'you sure?..you don’t sound fine...']"	N	N	N	N	N	N	N	0.08796701	0.029924866	0.027041016	0.09375726	0.027314456	0.05223086	0.022130106	0.35106626	0.1357553	0.8622703	0.31934857	0.15940334	0.80974925	0.030818274	0.020108776	0.83113307
